" MFG. COMPANY INC."                                 , "INCORPORATED"       , " MANUFACTURING COMPANY"
" (QLD.) PTY. LTD."                                  , "LIMITED"            , " "
" QLD PTY LTD."                                      , "LIMITED"            , " "
" (QLD) PTY LTD"                                     , "LIMITED"            , " "
" (QLD) PTY. LTD."                                   , "LIMITED"            , " "
" (QLD) PTY LTD."                                    , "LIMITED"            , " "
" (VIC) PTY., LTD."                                  , "LIMITED"            , " "
" (VIC) PTY LTD."                                    , "LIMITED"            , " "
" (VIC) PTY. LTD."                                   , "LIMITED"            , " "
" (VIC) PTY LTD"                                     , "LIMITED"            , " "
" (VIC.) PTY. LTD."                                  , "LIMITED"            , " "
" (S.A.) PTY LTD"                                    , "LIMITED"            , " "
" (SA) PTY LTD"                                      , "LIMITED"            , " "
" S.A. (PTY) LTD."                                   , "LIMITED"            , " "
", PTY. LTD."                                        , "LIMITED"            , " "
", PTY LTD"                                          , "LIMITED"            , " "
", PTY., LTD."                                       , "LIMITED"            , " "
", PTY LTD."                                         , "LIMITED"            , " "
", PTY, LTD."                                        , "LIMITED"            , " "
", PTY, LTD"                                         , "LIMITED"            , " "
" PTY. LTD."                                         , "LIMITED"            , " "
" PTY LTD"                                           , "LIMITED"            , " "
" PTY., LTD."                                        , "LIMITED"            , " "
" PTY LTD."                                          , "LIMITED"            , " "
" PTY, LTD."                                         , "LIMITED"            , " "
" PTY, LTD"                                          , "LIMITED"            , " "
" PTY. LTD"                                          , "LIMITED"            , " "
" (PTY) LTD"                                         , "LIMITED"            , " "
" (PTY) LTD."                                        , "LIMITED"            , " "
" PTY., LTD"                                         , "LIMITED"            , " "
" (PTY.) LTD."                                       , "LIMITED"            , " "
" PTY: LTD."                                         , "LIMITED"            , " "
" (PTY.) LTD"                                        , "LIMITED"            , " "
" (PTY), LTD."                                       , "LIMITED"            , " "
" CO. PTE. LTD."                                     , "LIMITED"            , " COMPANY"
" CO. (PTE) LTD."                                    , "LIMITED"            , " COMPANY"
" CO. PTE LTD"                                       , "LIMITED"            , " COMPANY"
" CO., PTE. LTD."                                    , "LIMITED"            , " COMPANY"
" (S) PTE LTD."                                      , "LIMITED"            , " "
" (S) PTE LTD"                                       , "LIMITED"            , " "
" (S) PTE. LTD."                                     , "LIMITED"            , " "
" (S), PTE., LTD."                                   , "LIMITED"            , " "
", PTE., LTD."                                       , "LIMITED"            , " "
", PTE. LTD."                                        , "LIMITED"            , " "
", PTE LTD"                                          , "LIMITED"            , " "
", PTE LTD."                                         , "LIMITED"            , " "
", PTE, LTD."                                        , "LIMITED"            , " "
" PTE., LTD."                                        , "LIMITED"            , " "
" PTE. LTD."                                         , "LIMITED"            , " "
" PTE LTD"                                           , "LIMITED"            , " "
" PTE LTD."                                          , "LIMITED"            , " "
" PTE, LTD."                                         , "LIMITED"            , " "
" PTE. LTD"                                          , "LIMITED"            , " "
" (PTE) LTD."                                        , "LIMITED"            , " "
" (PTE) LTD"                                         , "LIMITED"            , " "
" PTE, LTD"                                          , "LIMITED"            , " "
", CORP. LTD."                                       , "LIMITED"            , " CORPORATION"
" CORP. LTD."                                        , "LIMITED"            , " CORPORATION"
" CORP., LTD."                                       , "LIMITED"            , " CORPORATION"
" CORP, LTD."                                        , "LIMITED"            , " CORPORATION"
" CORP., LTD"                                        , "LIMITED"            , " CORPORATION"
" CORP. LTD"                                         , "LIMITED"            , " CORPORATION"
" MFG LTD."                                          , "LIMITED"            , " MANUFACTURING"
" MFG., LTD."                                        , "LIMITED"            , " MANUFACTURING"
" MFG. LTD."                                         , "LIMITED"            , " MANUFACTURING"
" MFG., LTD"                                         , "LIMITED"            , " MANUFACTURING"
" CO., INC. LTD."                                    , "LIMITED"            , " COMPANY"
" CO., INC., LTD."                                   , "LIMITED"            , " COMPANY"
", INC., LTD"                                        , "LIMITED"            , " "
", INC., LTD."                                       , "LIMITED"            , " "
", INC. LTD."                                        , "LIMITED"            , " "
" INC., LTD"                                         , "LIMITED"            , " "
" INC., LTD."                                        , "LIMITED"            , " "
" INC. LTD."                                         , "LIMITED"            , " "
" INC. LTD"                                          , "LIMITED"            , " "
" INC, LTD."                                         , "LIMITED"            , " "
" INT’L LTD."                                        , "LIMITED"            , " INTERNATIONAL"
" INT’L. LTD."                                       , "LIMITED"            , " INTERNATIONAL"
" INT’L., LTD."                                      , "LIMITED"            , " INTERNATIONAL"
" INT""L LTD."                                       , "LIMITED"            , " INTERNATIONAL"
" INTL. LTD."                                        , "LIMITED"            , " INTERNATIONAL"
" INT., LTD."                                        , "LIMITED"            , " INTERNATIONAL"
" INT. LTD."                                         , "LIMITED"            , " INTERNATIONAL"
" KABUSHIKI KAISHA, LTD."                            , "LIMITED"            , " "
", LTD."                                             , "LIMITED"            , " "
", LTD"                                              , "LIMITED"            , " "
", LTD.."                                            , "LIMITED"            , " "
", L.T.D."                                           , "LIMITED"            , " "
" (LTD.)"                                            , "LIMITED"            , " "
" LTD."                                              , "LIMITED"            , " "
" LTD"                                               , "LIMITED"            , " "
" LTD.."                                             , "LIMITED"            , " "
" L.T.D."                                            , "LIMITED"            , " "
" (LTD)"                                             , "LIMITED"            , " "
", LTD/"                                             , "LIMITED"            , " "
" & C. S.P.A."                                       , "SPA"                , " & COMPANY"
" & C. SPA"                                          , "SPA"                , " & COMPANY"
" & C SPA"                                           , "SPA"                , " & COMPANY"
" & C., S.P.A."                                      , "SPA"                , " & COMPANY"
" & C. S.P.A"                                        , "SPA"                , " & COMPANY"
" & C. -S.P.A."                                      , "SPA"                , " & COMPANY"
" CO. S.P.A."                                        , "SPA"                , " COMPANY"
" CO. SPA"                                           , "SPA"                , " COMPANY"
" CO., S.P.A."                                       , "SPA"                , " COMPANY"
", S.P.A."                                           , "SPA"                , " "
", SPA"                                              , "SPA"                , " "
", S.P.A"                                            , "SPA"                , " "
" - S.P.A"                                           , "SPA"                , " "
" -S.P.A."                                           , "SPA"                , " "
", SPA."                                             , "SPA"                , " "
" S.P.A."                                            , "SPA"                , " "
" SPA"                                               , "SPA"                , " "
" S.P.A"                                             , "SPA"                , " "
" SPA."                                              , "SPA"                , " "
" S.P.A.."                                           , "SPA"                , " "
" S.PA."                                             , "SPA"                , " "
" S-P.A."                                            , "SPA"                , " "
" (S.P.A.)"                                          , "SPA"                , " "
" SP.A."                                             , "SPA"                , " "
" SPA’"                                              , "SPA"                , " "
" & C. S.R.L."                                       , "SRL"                , " & COMPANY"
" & C. SRL"                                          , "SRL"                , " & COMPANY"
" & C. S.R.L"                                        , "SRL"                , " & COMPANY"
" E C. S.R.L."                                       , "SRL"                , " & COMPANY"
" & C S.R.L."                                        , "SRL"                , " & COMPANY"
" CO. S.R.L."                                        , "SRL"                , " COMPANY"
" LTD. SRL"                                          , "SRL"                , " "
" L.T.D. S.R.L."                                     , "SRL"                , " "
", S.R.L."                                           , "SRL"                , " "
" - S.R.L."                                          , "SRL"                , " "
", S.R.L"                                            , "SRL"                , " "
", SRL"                                              , "SRL"                , " "
", SRL."                                             , "SRL"                , " "
", S.RL"                                             , "SRL"                , " "
" S.R.L."                                            , "SRL"                , " "
" S.R.L"                                             , "SRL"                , " "
" SRL"                                               , "SRL"                , " "
" SRL."                                              , "SRL"                , " "
" S.RL"                                              , "SRL"                , " "
" -S.R.L."                                           , "SRL"                , " "
" .S.R.L."                                           , "SRL"                , " "
" SR.L."                                             , "SRL"                , " "
" S.RL."                                             , "SRL"                , " "
" S.ß.R.L."                                          , "S.ß.R.L."           , " "
" S.ß.R.L"                                           , "S.ß.R.L."           , " "
" CO. PTY. LIMITED"                                  , "LIMITED"            , " COMPANY"
" CO. PTY LIMITED"                                   , "LIMITED"            , " COMPANY"
" CO PTY LIMITED"                                    , "LIMITED"            , " COMPANY"
" CO. (PTY) LIMITED"                                 , "LIMITED"            , " COMPANY"
", PTY. LIMITED"                                     , "LIMITED"            , " "
", PTY, LIMITED"                                     , "LIMITED"            , " "
" PTY. LIMITED"                                      , "LIMITED"            , " "
" PTY, LIMITED"                                      , "LIMITED"            , " "
" PTY LIMITED"                                       , "LIMITED"            , " "
" (PTY) LIMITED"                                     , "LIMITED"            , " "
" PTY., LIMITED"                                     , "LIMITED"            , " "
" PTY. LIMITED."                                     , "LIMITED"            , " "
" PTY. .LIMITED"                                     , "LIMITED"            , " "
" (PTY.) LIMITED"                                    , "LIMITED"            , " "
" CO., LIMITED"                                      , "LIMITED"            , " COMPANY"
" CO. LIMITED"                                       , "LIMITED"            , " COMPANY"
" CO. LIMITED."                                      , "LIMITED"            , " COMPANY"
" CO LIMITED"                                        , "LIMITED"            , " COMPANY"
" CO, LIMITED"                                       , "LIMITED"            , " COMPANY"
" CO., LIMITED."                                     , "LIMITED"            , " COMPANY"
" CO. (NZ) LIMITED"                                  , "LIMITED"            , " COMPANY"
" (NZ) LIMITED"                                      , "LIMITED"            , " "
" (N.Z.) LIMITED"                                    , "LIMITED"            , " "
" NZ LIMITED"                                        , "LIMITED"            , " "
" (H.K.) LIMITED"                                    , "LIMITED"            , " "
" (H.K) LIMITED"                                     , "LIMITED"            , " "
" (HK) LIMITED"                                      , "LIMITED"            , " "
" HK LIMITED"                                        , "LIMITED"            , " "
" (IP) LIMITED"                                      , "LIMITED"            , " "
" (I.P.) LIMITED"                                    , "LIMITED"            , " "
" I.P. LIMITED"                                      , "LIMITED"            , " "
" IP LIMITED"                                        , "LIMITED"            , " "
" ( IP) LIMITED"                                     , "LIMITED"            , " "
" (I.P) LIMITED"                                     , "LIMITED"            , " "
" (PTE) LIMITED"                                     , "LIMITED"            , " "
" PTE LIMITED"                                       , "LIMITED"            , " "
" PTE. LIMITED"                                      , "LIMITED"            , " "
" PTE, LIMITED"                                      , "LIMITED"            , " "
" (BVI) LIMITED"                                     , "LIMITED"            , " "
" (B.V.I.) LIMITED"                                  , "LIMITED"            , " "
" (BVIØ) LIMITED"                                    , "LIMITED"            , " "
" (N.I.) LIMITED"                                    , "LIMITED"            , " "
" (NI) LIMITED"                                      , "LIMITED"            , " "
" NI LIMITED"                                        , "LIMITED"            , " "
", LIMITED."                                         , "LIMITED"            , " "
", LIMITED"                                          , "LIMITED"            , " "
" LIMITED."                                          , "LIMITED"            , " "
" LIMITED"                                           , "LIMITED"            , " "
" (PROPRIETARY LIMITED)"                             , "LIMITED"            , " "
"(PROPRIETARY LIMITED)"                              , "LIMITED"            , " "
" CIE, S. A."                                        , "SA"                 , " COMPAGNIE"
" CIE S. A."                                         , "SA"                 , " COMPAGNIE"
" FRANCE S. A."                                      , "SA"                 , " FRANCE"
" (FRANCE) S. A."                                    , "SA"                 , " (FRANCE)"
" S. P. A."                                          , "SPA"                , " "
" S P A"                                             , "SPA"                , " "
" U. CO. GMBH"                                       , "GMBH"               , " & COMPANY"
" UND CO. GMBH"                                      , "GMBH"               , " & COMPANY"
" CO. GMBH"                                          , "GMBH"               , " COMPANY"
" + CO., GMBH"                                       , "GMBH"               , " & COMPANY"
" + CO GMBH"                                         , "GMBH"               , " & COMPANY"
" CO., GMBH"                                         , "GMBH"               , " COMPANY"
" CO. (GMBH)"                                        , "GMBH"               , " COMPANY"
" CO., (GMBH)"                                       , "GMBH"               , " COMPANY"
" CO GMBH"                                           , "GMBH"               , " COMPANY"
" &CO. GMBH"                                         , "GMBH"               , " & COMPANY"
" CO, GMBH"                                          , "GMBH"               , " COMPANY"
" CIE. GMBH"                                         , "GMBH"               , " COMPANY"
" CIE, GMBH"                                         , "GMBH"               , " COMPANY"
" CIE GMBH"                                          , "GMBH"               , " COMPANY"
", GMBH"                                             , "GMBH"               , " "
", GMBH."                                            , "GMBH"               , " "
" GMBH"                                              , "GMBH"               , " "
" G.M.B.H."                                          , "GMBH"               , " "
" GMBH."                                             , "GMBH"               , " "
" -GMBH"                                             , "GMBH"               , " "
" GESELLSCHAFT MIT BE- SCHRAENKTER HAFTUNG (GMBH)"   , "GMBH"               , " "
" (GMBH)"                                            , "GMBH"               , " "
" G.M.B.H"                                           , "GMBH"               , " "
" G.MBH"                                             , "GMBH"               , " "
" G.M.BH"                                            , "GMBH"               , " "
" MFG. CORPORATION"                                  , "GMBH"               , " MANUFACTURING CORPORATION"
" ET CIE. S.A."                                      , "SA"                 , " & COMPAGNIE"
" ET CIE, S.A."                                      , "SA"                 , " & COMPAGNIE"
" ET CIE (SA)"                                       , "SA"                 , " & COMPAGNIE"
" ET CIE S.A."                                       , "SA"                 , " & COMPAGNIE"
" ET. CIE S.A."                                      , "SA"                 , " & COMPAGNIE"
" ET CIE., S.A."                                     , "SA"                 , " & COMPAGNIE"
" CIE. S.A."                                         , "SA"                 , " COMPAGNIE"
" CIE (S.A.)"                                        , "SA"                 , " COMPAGNIE"
" CIE S.A."                                          , "SA"                 , " COMPAGNIE"
" CIE, S.A."                                         , "SA"                 , " COMPAGNIE"
" CIE, SA"                                           , "SA"                 , " COMPAGNIE"
" CI.E. SA"                                          , "SA"                 , " COMPAGNIE"
" CIE SA"                                            , "SA"                 , " COMPAGNIE"
" ET CO. S.A."                                       , "SA"                 , " & COMPANY"
" ET CO S.A."                                        , "SA"                 , " & COMPANY"
" ET CO. SA"                                         , "SA"                 , " & COMPANY"
" CO., S.A."                                         , "SA"                 , " COMPANY"
" CO. S.A."                                          , "SA"                 , " COMPANY"
" CO SA"                                             , "SA"                 , " COMPANY"
" CO. SA"                                            , "SA"                 , " COMPANY"
" Y CIA., S.A."                                      , "SA"                 , " & COMPANIA"
" Y CIA. S.A."                                       , "SA"                 , " & COMPANIA"
" Y CIA S.A."                                        , "SA"                 , " & COMPANIA"
" Y CIA, S.A."                                       , "SA"                 , " & COMPANIA"
" CIA, S.A."                                         , "SA"                 , " COMPANIA"
" CIA. S.A."                                         , "SA"                 , " COMPANIA"
" CIA., S.A."                                        , "SA"                 , " COMPANIA"
" CIA S.A."                                          , "SA"                 , " COMPANIA"
", INC. S.A."                                        , "SA"                 , " "
", INC., SA."                                        , "SA"                 , " "
" INC. S.A."                                         , "SA"                 , " "
" INC., SA."                                         , "SA"                 , " "
" INC., S.A."                                        , "SA"                 , " "
" MFG. CY, S.A."                                     , "SA"                 , " MANUFACTURING COMPANY"
" CY, S.A."                                          , "SA"                 , " COMPANY"
" MANUFACTURIN CY, S.A."                             , "SA"                 , " MANUFACTURING COMPANY"
" CY S.A."                                           , "SA"                 , " COMPANY"
", S.A."                                             , "SA"                 , " "
", SA"                                               , "SA"                 , " "
", S.A"                                              , "SA"                 , " "
", S,A."                                             , "SA"                 , " "
", SA."                                              , "SA"                 , " "
" S.A."                                              , "SA"                 , " "
" SA"                                                , "SA"                 , " "
" S.A"                                               , "SA"                 , " "
" S,A."                                              , "SA"                 , " "
" SA."                                               , "SA"                 , " "
" (S.A.)"                                            , "SA"                 , " "
" (SA)"                                              , "SA"                 , " "
" (S.A)"                                             , "SA"                 , " "
" S..A."                                             , "SA"                 , " "
" S.A.."                                             , "SA"                 , " "
" -SA"                                               , "SA"                 , " "
" S,A"                                               , "SA"                 , " "
" -S.A."                                             , "SA"                 , " "
" .S.A"                                              , "SA"                 , " "
" S-A."                                              , "SA"                 , " "
" S/A"                                               , "SA"                 , " "
" S/A."                                              , "SA"                 , " "
" E C."                                              , ""                   , " & COMPANY” only if string ends with “ E C."
" P. L. C."                                          , "PLC"                , " "
" P L C"                                             , "PLC"                , " "
" P. L. C"                                           , "PLC"                , " "
", L. L. C."                                         , "LLC"                , " "
", L L C"                                            , "LLC"                , " "
" L L C."                                            , "LLC"                , " "
" L L C"                                             , "LLC"                , " "
" & C."                                              , ""                   , " COMPANY"  , " & C.\\s*$" 
" & C"                                               , ""                   , " COMPANY"  , " & C\\s*$"  
" S. R. L."                                          , "SRL"                , " "
" S.R L."                                            , "SRL"                , " "
" S.R. L."                                           , "SRL"                , " "
" GES. M. B. H."                                     , "GMBH"               , " "
" GESELLSCHAFT M. B. H."                             , "GMBH"               , " "
" CO. PLC"                                           , "PLC"                , " COMPANY"
" CO., PLC"                                          , "PLC"                , " COMPANY"
" CO., P.L.C."                                       , "PLC"                , " COMPANY"
" CO. P.L.C."                                        , "PLC"                , " COMPANY"
", PLC"                                              , "PLC"                , " "
", PLC."                                             , "PLC"                , " "
", P.L.C."                                           , "PLC"                , " "
", P.L.C"                                            , "PLC"                , " "
" PLC"                                               , "PLC"                , " "
" PLC."                                              , "PLC"                , " "
" P.L.C."                                            , "PLC"                , " "
" P.L.C"                                             , "PLC"                , " "
" PL.C"                                              , "PLC"                , " "
" P.L.C.."                                           , "PLC"                , " "
" (PLC)"                                             , "PLC"                , " "
" ET CIE (SARL)"                                     , "SARL"               , " & COMPAGNIE"
" CIE, SARL"                                         , "SARL"               , " COMPAGNIE"
" CIE S.A.R.L."                                      , "SARL"               , " COMPAGNIE"
" CIE SARL"                                          , "SARL"               , " COMPAGNIE"
", SARL"                                             , "SARL"               , " "
", S.A.R.L."                                         , "SARL"               , " "
", (SARL)"                                           , "SARL"               , " "
", S.A.R.L"                                          , "SARL"               , " "
" SARL"                                              , "SARL"               , " "
" S.A.R.L."                                          , "SARL"               , " "
" (SARL)"                                            , "SARL"               , " "
